screen_name,location,created_at,language,created_year
SharonHeffern20,,2020-11-06 07:01:19,,2020
AfriExpert,Cape Town,2010-04-07 08:15:41,,2010
thabangdenia,Pretoria east the blyde estate,2012-05-04 08:23:37,,2012
RealCoryMachado,,2014-10-09 23:33:09,,2014
Jazzcentre,"ÜT: -29.83988,30.95386",2011-11-15 13:43:41,,2011
N3Gateway,"KwaZulu-Natal, Free State",2011-09-20 12:27:18,,2011
StrayATW,Taiwan (for now),2016-06-18 17:28:12,,2016
SerogoleMashoto,polokwane,2014-07-27 20:35:04,,2014
ThandolwethuKo5,"Cape Town, South Africa",2017-01-16 11:05:25,,2017
DrZweliMkhize,,2017-03-22 09:51:28,,2017
VRentalsCarHire,"Durban, South Africa",2017-11-14 13:50:53,,2017
DjGodpapa,,2017-09-19 18:12:59,,2017
knykker,Gauteng,2017-09-14 16:03:00,,2017
josephkganyago,,2014-02-09 09:20:59,,2014
Ntombi38641093,South Africa,2017-08-18 15:52:52,,2017
SouthernDrak,"Underberg, 3257",2013-08-08 10:02:15,,2013
sibongile_mama,South Africa 🌏,2015-03-27 12:47:33,,2015
Mallyzn,"Durban, South Africa",2010-09-23 06:59:50,,2010
PrideLodgesZA,"White River, South Africa",2013-06-10 08:25:58,,2013
FionaMohale,"Johannesburg, South Africa",2015-06-18 14:20:08,,2015
NambitiReserve,KwaZulu-Natal,2012-05-19 13:14:26,,2012
johnrampton,"Salt Lake City, UT",2009-09-24 15:31:23,,2009
kamogelo_wankie,"Botswana, Gaborone ",2017-04-08 15:43:22,,2017
yasiral66018412,,2017-04-15 05:24:56,,2017
TouchCentralfm,Africa,2017-03-31 00:26:18,,2017
Magesh_44,"North West,Letlhabile",2014-06-22 06:24:08,,2014
Mbongen07983240,,2017-03-05 03:52:44,,2017
GlenlivetReview,"Speyside, Scotland",2010-05-17 22:23:28,,2010
GlenfiddichRvw,"Speyside, Scotland",2010-05-17 22:18:18,,2010
SADJAwards,"durban,south africa",2017-01-05 07:09:56,,2017
HiltonBushLodge,"Hilton, KwaZulu-Natal Midlands",2015-08-19 10:04:25,,2015
emovienet,"Tempe, AZ",2017-02-18 22:48:49,,2017
SandyNumerology,"Johannesburg, South Africa",2009-06-15 07:17:51,,2009
Ntombi95102750,,2017-02-13 15:56:11,,2017
lux_life_,,2017-02-09 23:56:22,,2017
PhindiweNkosi,South Africa,2012-03-31 10:35:43,,2012
visualideator,"Kerala, India",2010-07-06 06:56:45,,2010
_GetInMyBelly_,"Johannesburg, South Africa",2017-01-16 19:04:01,,2017
AmazinSupercar,,2015-05-08 23:25:56,,2015
Lindy721Lindy,Ntuzuma#DBN South Africa,2013-07-01 16:02:20,,2013
RandNationMusic,Durban ,2017-01-27 19:18:56,,2017
